PotLabel,Line,OtherNamesonRecord,DatePlanted,StandCount,StandCountCleaned,DateTaken,NumInfected,DateObserved,Replant,Year,Row,DateReplanted,StandCount1,StandCount2,StandCount3,DateReplantTaken,ReplantInfected1,ReplantInfected2,ReplantInfected3,ReplantDateObserved,SusceptibilityRating03,BadStand,Remove,SCMVTests,GenoName,GBSDataSource,EndospermType,Region,Program,2019Planting,20142015Planting,UninfectedFirstRound,PercentInfectedFirstRound,PercentUninfectedFirstRound,SusceptibilityRating02,PercentInfectedAllRounds,SusceptibilityRating05
4,BSQ1,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4548,2019-05-22,6,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,7,0,100,0,0,0
6,BST1,,2019-01-29,6,6,2019-02-12,0,2019-02-21,y,13,4549,2019-05-22,6,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,6,0,100,0,0,0
14,MDM-18,,2019-01-29,8,8,2019-02-12,0,2019-02-21,y,13,4365,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_18,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
16,T625,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4534,2019-05-22,7,5,2,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,T625,WiDivMerged,su1,Sou,TN,TRUE,TRUE,7,0,100,0,0,0
29,MDM-17,,2019-01-29,8,8,2019-02-12,0,2019-02-21,y,13,4364,2019-05-22,8,7,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_17,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
30,83610b,,2019-01-29,6,6,2019-02-12,0,2019-02-21,y,13,3921,2019-05-22,8,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,83610b,WiDivMerged,su1,,,TRUE,TRUE,6,0,100,0,0,0
72,BST4,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4552,2019-05-22,7,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,7,0,100,0,0,0
76,C1540,,2019-01-29,8,8,2019-02-12,0,2019-02-21,y,13,3942,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,C15,WiDivMerged,field,Ne,CT,TRUE,TRUE,8,0,100,0,0,0
91,Ia2256B,,2019-01-29,4,4,2019-02-12,0,2019-02-21,y,3,2427,2019-05-22,8,7,8,2019-06-07,6,3,6,2019-06-17,2,Fine,Keep,TRUE,,NA,su1,Mdw,IA,TRUE,TRUE,4,0,100,1,55.55555556,3
96,MDM-20,,2019-01-29,8,8,2019-02-12,0,2019-02-21,y,13,4366,2019-05-22,7,7,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_20,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
108,MDM3,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4369,2019-05-22,8,6,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,7,0,100,0,0,0
111,T62s,,2019-01-29,7,7,2019-02-12,0,2019-02-21,y,13,4536,2019-05-22,6,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,PI509045,all_sweet,su1,Sou,TN,TRUE,TRUE,7,0,100,0,0,0
125,IL794a,,2019-02-14,6 (1 small),6,2019-02-27,0,2019-03-08,y,13,4319,2019-05-22,5,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL794a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,6,0,100,0,0,0
130,MDM-5,,2019-02-14,4,4,2019-02-27,0,2019-03-08,y,97,9748,2019-05-22,8,4,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_5,WiDivMerged,su1,,,TRUE,TRUE,4,0,100,0,0,0
141,AS11,,2019-02-14,7,7,2019-02-27,0,2019-03-08,y,13,4547,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,AS11,all_sweet,su1,Mdw,MN,TRUE,TRUE,7,0,100,0,0,0
148,Ma83608,,2019-02-14,6,6,2019-02-27,0,2019-03-08,y,14,32402,2019-05-22,5,7,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Ma83608,WiDivMerged,su1,Ne,MA,TRUE,TRUE,6,0,100,0,0,0
159,IL800a,,2019-02-14,5 (2 small),5,2019-02-27,0,2019-03-08,y,13,4327,2019-05-22,5,5,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,su1,Mdw,IL,TRUE,TRUE,5,0,100,0,0,0
196,83612b,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,3922,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,83612b,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
198,CI540,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,4007,2019-05-22,7,7,8,2019-06-07,0,1,0,2019-06-17,1,Fine,Keep,TRUE,CI540,WiDivMerged,NA,,,TRUE,FALSE,8,0,100,1,3.333333333,1
202,B73,,2019-02-14,7,7,2019-02-27,0,2019-03-08,y,,3-1-11-4,2019-05-22,8,7,8,2019-06-07,0,1,1,2019-06-17,1,Fine,Keep,TRUE,B73,WiDivMerged,field,Mdw,IA,TRUE,TRUE,7,0,100,1,6.666666667,1
206,Ia4189,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,4031,2019-05-22,8,7,8,2019-06-07,6,6,4,2019-06-17,2,Fine,Keep,TRUE,Ia4189,all_sweet,su1,Mdw,IA,TRUE,TRUE,8,0,100,1,51.61290323,3
214,IL799b,,2019-02-14,6 (all small),6,2019-02-27,0,2019-03-08,y,13,4326,2019-05-22,8,8,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL799b,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,6,0,100,0,0,0
234,BST2,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4550,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,8,0,100,0,0,0
246,C15,,2019-02-28,1,1,2019-03-15,0,2019-03-26,y,0,6006,2019-05-22,4,2,1,2019-06-07,4,2,0,2019-06-17,2,Fine,Keep,TRUE,C15,WiDivMerged,su1,Ne,CT,TRUE,TRUE,1,0,100,1,75,4
247,MDM-16,,2019-02-28,8 (3 small),8,2019-03-15,0,2019-03-26,y,13,4363,2019-05-22,8,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_16,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
253,MDM-6,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4404,2019-05-22,6,5,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_6,WiDivMerged,su1,,,TRUE,TRUE,7,0,100,0,0,0
256,IL696a,,2019-02-28,7 (1 small),7,2019-03-15,0,2019-03-26,y,13,4222,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL696a,WiDivMerged,se,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
263,IL795a,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4320,2019-05-22,8,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL795a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
268,ILB5870,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4339,2019-05-22,,,,2019-06-07,,,,2019-06-17,0,Fine,Keep,TRUE,ILB5870,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
269,A632 su/su,,2019-02-28,5,5,2019-03-15,0,2019-03-26,y,14,32376,2019-05-22,3,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,su1,Mdw,MN,TRUE,FALSE,5,0,100,0,0,0
273,ILB6011,,2019-02-28,8 (1 small),8,2019-03-15,0,2019-03-26,y,13,4340,2019-05-22,5,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,ILB6011,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,8,0,100,0,0,0
279,MDM-15,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4361,2019-05-22,8,7,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_15,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
286,OH43,OH43 Su,2019-02-28,6,6,2019-03-15,0,2019-03-26,y,13,4449,2019-05-22,6,8,5,2019-06-07,2,4,2,2019-06-17,2,Fine,Keep,TRUE,Ames19288,WiDivMerged,field,Mdw,OH,TRUE,TRUE,6,0,100,1,32,2
318,OH7B,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4451,2019-05-22,8,2,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Ames19323,WiDivMerged,field,Mdw,OH,FALSE,TRUE,8,0,100,0,0,0
325,IaEV3004,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4042,2019-05-22,6,8,8,2019-06-07,3,5,4,2019-06-17,2,Fine,Keep,TRUE,Ames22027,all_sweet,su1,Mdw,IA,TRUE,TRUE,8,0,100,1,40,2
327,NY MDM-1,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4440,2019-05-22,8,5,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_1,WiDivMerged,su1,Ne,NY,FALSE,FALSE,8,0,100,0,0,0
328,STRAIN 465A-421-68B,Strain 465A-421-68(B),2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4525,2019-05-22,8,8,8,2019-06-07,7,4,0,2019-06-17,2,Fine,Keep,TRUE,PI358530,all_sweet,su1,Mdw,IL,TRUE,FALSE,8,0,100,1,34.375,2
348,MDM-9,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,96,7738,2019-05-22,7,8,8,2019-06-07,4,0,6,2019-06-17,2,Fine,Keep,TRUE,MDM_9,WiDivMerged,su1,,,TRUE,TRUE,7,0,100,1,33.33333333,2
350,2,,2019-03-12,5,5,2019-03-26,0,2019-04-10,y,13,3857,2019-05-22,8,8,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,2,WiDivMerged,su1,,,TRUE,TRUE,5,0,100,0,0,0
364,IL797a,,2019-03-12,8,8,2019-03-26,0,2019-04-10,y,13,4323,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL797a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,8,0,100,0,0,0
373,IL793a,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,13,4318,2019-05-22,8,7,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL793a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
392,Wh13074,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,15,8169,2019-05-22,8,8,4,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,FALSE,FALSE,7,0,100,0,0,0
396,Wh13022A,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,16,9264,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,7,0,100,0,0,0
402,Wh11005,,2019-03-12,1,1,2019-03-26,0,2019-04-10,y,14,10231,2019-05-22,1,0,1,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,1,0,100,0,0,0
403,Wh13070,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,15,8166,2019-05-22,8,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,7,0,100,0,0,0
405,Wh13063A,,2019-03-12,6,6,2019-03-26,0,2019-04-10,y,15,8160,2019-05-22,6,5,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,6,0,100,0,0,0
407,Wh10231V,,2019-03-12,5,5,2019-03-26,0,2019-04-10,y,14,41528,2019-05-22,,,,2019-06-07,,,,2019-06-17,0,Fine,Keep,TRUE,Wh10231V,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,5,0,100,0,0,0
436,Wh10140R,,2019-03-12,6,6,2019-03-26,0,2019-04-10,y,14,41519,2019-05-22,5,7,2,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Wh10140R,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,6,0,100,0,0,0
439,Wh10173V,,2019-03-12,6,6,2019-03-26,0,2019-04-10,y,14,41521,2019-05-22,6,7,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Wh10173V,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,6,0,100,0,0,0
458,Wh12014,,2019-03-28,8,8,2019-04-10,0,2019-04-25,y,14,10246,2019-05-22,7,6,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,8,0,100,0,0,0
459,Wh13064,,2019-03-28,8,8,2019-04-10,0,2019-04-25,y,16,9310,2019-05-22,7,7,6,2019-06-07,1,3,2,2019-06-17,2,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,8,0,100,1,21.42857143,2
461,Wh92047,,2019-03-28,8,8,2019-04-10,0,2019-04-25,y,12,3-4-7-3(2514),2019-05-22,5,8,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Wh92047,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,8,0,100,0,0,0
462,We02412,,2019-03-28,8,8,2019-04-10,0,2019-04-25,y,14,41112,2019-05-22,6,4,,2019-06-07,0,0,,2019-06-17,0,Fine,Keep,TRUE,We02412,WiDivMerged,se,Mdw,WI,TRUE,TRUE,8,0,100,0,0,0
476,Wh10163,,2019-03-28,7,7,2019-04-10,0,2019-04-25,y,15,7922,2019-05-22,8,8,8,2019-06-07,4,3,0,2019-06-17,2,Fine,Keep,TRUE,Wh10163,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,7,0,100,1,22.58064516,2
478,Wh13040,,2019-03-28,7,7,2019-04-10,0,2019-04-25,y,15,8142,2019-05-22,7,8,8,2019-06-07,3,6,6,2019-06-17,2,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,7,0,100,1,50,3
482,We10401,,2019-03-28,5,5,2019-04-10,0,2019-04-25,y,12,2726,2019-05-22,8,8,6,2019-06-07,6,3,4,2019-06-17,2,Fine,Keep,TRUE,We10401,WiDivMerged,se,Mdw,WI,TRUE,TRUE,5,0,100,1,48.14814815,3
484,Wh10035R,,2019-03-28,7,7,2019-04-10,0,2019-04-25,y,14,41420,2019-05-22,7,6,8,2019-06-07,6,5,8,2019-06-17,2,Fine,Keep,TRUE,Wh10035R,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,7,0,100,1,67.85714286,4
486,Wuh07469i,,2019-03-28,3,3,2019-04-10,0,2019-04-25,n,14,41712,,,,,,,,,,0,Fine,Keep,TRUE,Wuh07469i,WiDivMerged,sh2i,Mdw,WI,TRUE,TRUE,3,0,100,0,0,0
490,Wh12048V,,2019-03-28,2,2,2019-04-10,0,2019-04-25,y,14,10269,2019-05-22,7,7,4,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,2,0,100,0,0,0
498,Wh10216V,,2019-03-28,7,7,2019-04-10,0,2019-04-25,y,14,41523,2019-05-22,6,5,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Wh10216V,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,7,0,100,0,0,0
534,A632,,2019-03-28,8,8,2019-04-10,0,2019-04-25,y,13,2838,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,A632,WiDivMerged,field,Mdw,MN,TRUE,TRUE,8,0,100,0,0,0
275,IL689a,,2019-02-28,8 (2 small),8,2019-03-15,1,2019-03-26,n,13,4219,,,,,,,,,,2,Fine,Keep,TRUE,IL689a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,12.5,87.5,1,12.5,1
274,Ia45-3,,2019-02-28,7 (1 small),7,2019-03-15,1,2019-03-26,n,14,32574,,,,,,,,,,2,Fine,Keep,TRUE,Ia45_3,WiDivMerged,su1,Mdw,IA,TRUE,TRUE,6,14.28571429,85.71428571,1,14.28571429,1
243,IL325a,,2019-02-28,6 (2 small),6,2019-03-15,1,2019-03-26,n,13,4106,,,,,,,,,,2,Fine,Keep,TRUE,IL325a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,5,16.66666667,83.33333333,1,16.66666667,1
359,IL14C,,2019-03-12,6,6,2019-03-26,1,2019-04-10,n,13,3863,,,,,,,,,,2,Fine,Keep,TRUE,IL14C,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,5,16.66666667,83.33333333,1,16.66666667,1
272,Ia2730,,2019-02-28,5,5,2019-03-15,1,2019-03-26,n,13,4029,,,,,,,,,,2,Fine,Keep,TRUE,Ia2730,all_sweet,su1,Mdw,IA,TRUE,TRUE,4,20,80,1,20,1
190,A15,,2019-02-14,8,8,2019-02-27,2,2019-03-08,n,13,3926,,,,,,,,,,2,Fine,Keep,TRUE,A15,WiDivMerged,su1,Mdw,MN,TRUE,TRUE,6,25,75,1,25,2
222,IaEV3015,,2019-02-14,8,8,2019-02-27,2,2019-03-08,n,13,4043,,,,,,,,,,2,Fine,Keep,TRUE,IaEV3015,all_sweet,su1,Mdw,IA,TRUE,TRUE,6,25,75,1,25,2
271,NJ7Y,,2019-02-28,4 (1 small),4,2019-03-15,1,2019-03-26,n,13,4439,,,,,,,,,,2,Fine,Keep,TRUE,NJ7Y,WiDivMerged,su1,Ne,NJ,TRUE,TRUE,3,25,75,1,25,2
244,Me1,,2019-02-28,7,7,2019-03-15,2,2019-03-26,n,13,4409,,,,,,,,,,2,Fine,Keep,TRUE,Ames22037,all_sweet,su1,Ne,ME,TRUE,TRUE,5,28.57142857,71.42857143,1,28.57142857,2
306,T20-2-68(B),,2019-02-28,7,7,2019-03-15,2,2019-03-26,n,13,4527,,,,,,,,,,2,Fine,Keep,TRUE,PI358534,all_sweet,su1,Mdw,IL,FALSE,FALSE,5,28.57142857,71.42857143,1,28.57142857,2
288,Ia2256,,2019-02-28,6,6,2019-03-15,2,2019-03-26,n,14,32420,,,,,,,,,,2,Fine,Keep,TRUE,Ia2256,all_sweet,su1,Mdw,IA,TRUE,TRUE,4,33.33333333,66.66666667,1,33.33333333,2
300,IL14H-1014:74,,2019-02-28,6,6,2019-03-15,2,2019-03-26,n,13,3864,,,,,,,,,,2,Fine,Keep,TRUE,Ames27118,all_sweet,su1,Mdw,IL,FALSE,FALSE,4,33.33333333,66.66666667,1,33.33333333,2
304,IL747b (se),,2019-02-28,6,6,2019-03-15,2,2019-03-26,n,13,4241,,,,,,,,,,2,Fine,Keep,TRUE,IL747b,WiDivMerged,se,Mdw,IL,FALSE,FALSE,4,33.33333333,66.66666667,1,33.33333333,2
475,Wuh09153i,,2019-03-28,6,6,2019-04-10,2,2019-04-25,n,14,41805,,,,,,,,,,2,Fine,Keep,TRUE,Wuh09153i,WiDivMerged,sh2i,Mdw,WI,TRUE,TRUE,4,33.33333333,66.66666667,1,33.33333333,2
521,Wuh07428i,,2019-03-28,6,6,2019-04-10,2,2019-04-25,n,14,41624,,,,,,,,,,2,Fine,Keep,TRUE,,NA,sh2i,Mdw,WI,TRUE,FALSE,4,33.33333333,66.66666667,1,33.33333333,2
66,W64A,,2019-01-29,8,8,2019-02-12,3,2019-02-21,n,8,7321,,,,,,,,,,2,Fine,Keep,TRUE,PI587152,WiDivMerged,field,Mdw,WI,TRUE,TRUE,5,37.5,62.5,1,37.5,2
226,IL101T,,2019-02-28,8,8,2019-03-15,3,2019-03-26,n,18,8616,,,,,,,,,,2,Fine,Keep,TRUE,Ames27119,all_sweet,su1,Mdw,IL,TRUE,TRUE,5,37.5,62.5,1,37.5,2
229,C5 Ark 1956,,2019-02-28,8 (3 small),8,2019-03-15,3,2019-03-26,n,0,6016,,,,,,,,,,2,Fine,Keep,TRUE,Ames22011,all_sweet,su1,Ne,CT,FALSE,FALSE,5,37.5,62.5,1,37.5,2
265,P39LE-261:61,,2019-02-28,8 (1 small),8,2019-03-15,3,2019-03-26,n,13,4501,,,,,,,,,,2,Fine,Keep,TRUE,P39LE_261_61,WiDivMerged,su1,Mdw,IN,FALSE,TRUE,5,37.5,62.5,1,37.5,2
322,C90,,2019-02-28,8,8,2019-03-15,3,2019-03-26,n,13,4006,,,,,,,,,,2,Fine,Keep,TRUE,Ames22024,all_sweet,su1,Ne,CT,TRUE,TRUE,5,37.5,62.5,1,37.5,2
